x,y,z
1.8201099999999997e-08,-10.1405,-1.70805
0.0887703,-10.1721,-1.7598
0.178231,-10.2109,-1.7118200000000001
0.267237,-10.2054,-1.7617099999999999
0.357565,-10.2393,-1.7135599999999998
0.44476099999999996,-10.1867,-1.81112
0.511352,-9.75717,-1.8410099999999998
0.6129180000000001,-10.0211,-1.8655400000000002
0.701096,-10.0261,-1.8657099999999998
0.7877890000000001,-10.0098,-1.86822
0.877102,-10.0253,-1.8705
0.950577,-9.872119999999999,-1.89697
1.03516,-9.84892,-1.8985400000000001
1.1381299999999999,-9.98928,-1.876
1.23957,-10.0955,-1.8775400000000002
1.32938,-10.0976,-1.8791099999999998
1.42588,-10.1457,-1.8806599999999998
1.5240200000000002,-10.1974,-1.88188
1.6131,-10.1847,-1.8826
1.7109400000000001,-10.2242,-1.88116
1.8655599999999999,-10.5801,-1.4392399999999999
1.96314,-10.5922,-1.5409
1.7035,-8.76372,-1.94508
1.7794599999999998,-8.74635,-1.94517
2.20329,-10.3657,-1.93472
2.29593,-10.3563,-1.93475
2.4771,-10.7295,-1.60351
2.58268,-10.7576,-1.6062100000000001
2.1593299999999997,-8.6606,-1.9458
2.2318700000000002,-8.62999,-1.94497
2.90251,-10.8323,-1.71692
3.02102,-10.8934,-1.72206
2.92652,-10.206,-1.93503
3.24582,-10.9577,-1.7275599999999998
3.3589,-10.9865,-1.7303099999999998
3.47371,-11.0172,-1.73245
3.2864400000000002,-10.1146,-1.93504
3.3746199999999997,-10.0857,-1.93502
3.77757,-10.9708,-1.6850900000000002
3.8176099999999997,-10.7806,-1.7830099999999998
3.9521599999999997,-10.8585,-1.78453
3.99261,-10.6787,-1.82417
4.29881,-11.1988,-1.7552
4.42496,-11.2334,-1.7592900000000002
4.43307,-10.9722,-1.79788
4.567769999999999,-11.0276,-1.755
4.6536800000000005,-10.9634,-1.85087
4.818309999999999,-11.0813,-1.82505
4.93982,-11.095,-1.81909
5.189369999999999,-11.387,-1.83243
3.77316,-8.091569999999999,-1.94495
3.84179,-8.05448,-1.94567
3.91002,-8.01672,-1.9456
5.6611,-11.3544,-1.90047
5.90383,-11.5869,-1.45759
4.1189,-7.9123399999999995,-1.9448400000000001
4.187530000000001,-7.875610000000001,-1.94508
4.25318,-7.83338,-1.9453900000000002
6.59005,-11.8888,-1.44135
4.38837,-7.75643,-1.94517
4.459,-7.7232199999999995,-1.9455900000000002
4.5312,-7.6924399999999995,-1.94507
4.59406,-7.6458,-1.94507
4.6616800000000005,-7.6071800000000005,-1.9448900000000002
4.71941,-7.552639999999999,-1.94508
7.84322,-12.3114,-1.64198
7.92351,-12.2011,-1.63864
5.7001,-8.61192,-1.9348599999999998
4.9769,-7.37856,-1.94515
5.04019,-7.3335300000000005,-1.94498
5.79024,-8.26932,-1.9343400000000002
5.788530000000001,-8.115219999999999,-1.9344400000000002
5.83655,-8.03333,-1.8836700000000002
5.84972,-7.90544,-1.93398
5.82239,-7.72658,-1.93462
5.84821,-7.62153,-1.9344299999999999
3.69253,-4.72622,-1.8622900000000002
3.6243800000000004,-4.55647,-1.8322200000000002
3.62523,-4.476780000000001,-1.8330799999999998
3.6277,-4.40076,-1.83255
3.6419,-4.34025,-1.83205
3.6486300000000003,-4.27199,-1.37195
3.6439800000000004,-4.19192,-1.41763
3.6436,-4.11834,-1.36465
3.67438,-4.08081,-1.36426
3.6867300000000003,-4.02336,-1.36355
3.77485,-4.048030000000001,-1.1162100000000001
3.72581,-3.92619,-1.26
3.75106,-3.8843400000000003,-1.2598
3.8316800000000004,-3.89914,-1.2127700000000001
3.83699,-3.83699,-1.21065
3.78776,-3.7222199999999996,-1.77624
3.7461800000000003,-3.61765,-1.77637
3.8279300000000003,-3.63257,-1.77565
3.8468400000000003,-3.5872300000000004,-1.77485
3.8751800000000003,-3.55095,-1.7754599999999998
3.8907199999999995,-3.50322,-1.77425
3.8928,-3.44406,-1.77378
3.93605,-3.42156,-1.77446
3.95393,-3.37698,-1.77272
3.97165,-3.33261,-1.7731599999999998
4.01083,-3.3062699999999996,-1.77195
4.03496,-3.26745,-1.77174
4.0818,-3.24681,-1.7711400000000002
4.12526,-3.22301,-1.2006299999999999
4.15229,-3.18617,-1.20056
4.19295,-3.15961,-1.30155
4.27255,-3.16152,-1.6666
4.32041,-3.13896,-1.60669
3.8420699999999997,-2.74052,-1.6758099999999998
3.83566,-2.6857599999999997,-1.62229
3.8494699999999997,-2.64567,-1.62168
3.86185,-2.60485,-1.6224
5.01587,-3.3199300000000003,-1.4420899999999999
4.08283,-2.65142,-1.73443
5.0749699999999995,-3.23311,-1.74662
5.469069999999999,-3.4174599999999997,-1.7464099999999998
5.658930000000001,-3.46779,-1.7460200000000001
5.90135,-3.54589,-1.74511
6.053669999999999,-3.5658800000000004,-1.7451
6.33845,-3.6595,-1.76352
6.5869100000000005,-3.7267,-1.7624799999999998
6.89193,-3.8202599999999998,-1.76177
7.08948,-3.8492699999999997,-1.76082
7.37793,-3.9229199999999995,-1.7179400000000002
7.81659,-4.0690599999999995,-1.6937099999999998
8.1876,-4.1717900000000006,-1.74515
8.58114,-4.2784,-1.74567
8.96746,-4.37372,-1.75446
11.0814,-5.28556,-1.79234
11.0588,-5.15683,-1.7758200000000002
26.7325,-12.1827,-1.97311
33.607,-14.9628,-1.61396
33.7469,-14.6736,-1.6132600000000001
7.468539999999999,-3.09357,-1.75078
29.4223,-11.5898,-0.325
29.1718,-11.198,-1.36222
12.3044,-4.47844,-1.71298
11.9609,-4.2355599999999995,-1.69976
11.998,-4.13123,-1.69651
11.9792,-4.00818,-1.6975
12.1596,-3.9508900000000002,-1.24861
12.2333,-3.85716,-1.4558
9.2678,-2.39681,-1.72945
35.2275,-8.457360000000001,-1.7027
9.3208,-2.06637,-1.72855
9.35615,-1.9887099999999998,-1.72888
14.5923,-2.96885,-1.7078900000000001
18.76,-3.6465699999999996,-1.67871
9.40087,-1.74235,-1.7285400000000002
25.4579,-4.48891,-1.68022
9.432039999999999,-1.57838,-1.72853
9.43493,-1.49435,-1.7284400000000002
42.726000000000006,-6.38544,-0.687455
24.3281,-3.41909,-1.62673
36.6416,-4.82396,-0.9104690000000001
34.1165,-4.18898,-1.43648
33.2031,-3.78301,-0.724951
30.6547,-3.22194,-0.53892
30.3411,-2.92151,-0.520987
23.7612,-2.07883,-1.62894
30.0031,-2.3612900000000003,-1.30188
24.651999999999997,-1.72384,-1.6245399999999999
29.7566,-1.8199900000000002,-1.28702
29.7235,-1.55774,-1.2845
30.041,-1.31162,-1.30051
23.7094,-0.8279489999999999,-1.5546200000000001
23.6007,-0.618007,-1.52601
29.5489,-0.515778,-1.27871
29.4196,-0.256741,-1.2665
14.0169,0.0,-1.6831
11.1307,0.0971365,-1.67167
12.5388,0.21886599999999998,-1.56409
12.8653,0.33689,-1.5605799999999999
10.8189,0.377806,-1.5942399999999999
28.232,1.23263,-1.20611
28.2036,1.47809,-1.20474
15.2806,0.934599,-1.56771
9.088189999999999,0.635508,-1.66202
27.1952,2.14031,-1.16127
27.1579,2.37601,-1.1677799999999998
9.482389999999999,0.9966389999999999,-1.5515299999999999
9.524189999999999,1.08514,-1.5457100000000001
8.791889999999999,1.07951,-1.5916700000000001
8.7783,1.1556899999999999,-1.59136
28.8714,4.0576099999999995,-1.25258
7.432460000000001,1.11079,-1.62337
13.3296,2.1112,-1.44689
13.2135,2.21119,-1.22784
7.90607,1.4653,-1.55106
7.78255,1.5127700000000002,-1.5498299999999998
7.5892100000000005,1.5440399999999999,-1.54962
6.46509,1.3742,-1.6751099999999999
11.6232,2.5768,-1.30834
11.4519,2.64388,-1.30136
11.3328,2.72078,-0.9955309999999999
11.1802,2.7875400000000004,-0.729039
9.777560000000001,2.52865,-1.45555
6.570289999999999,1.7605,-1.5866200000000001
6.15091,1.7058,-1.6116700000000002
6.13596,1.7594599999999998,-1.61138
6.4779,1.91884,-1.56016
6.44918,1.9717099999999999,-1.55951
5.36624,1.69197,-1.6219700000000001
5.355230000000001,1.7400200000000001,-1.62196
9.48385,3.17325,-1.45038
8.04159,2.76894,-1.52244
10.1544,3.59586,-1.1417899999999999
4.854769999999999,1.76699,-1.6494
4.97688,1.8607799999999999,-1.50514
4.953069999999999,1.9013,-1.40459
4.8951199999999995,1.9282400000000002,-1.50241
4.95566,2.00222,-1.45672
5.00151,2.0716900000000003,-1.41089
5.02975,2.135,-1.41291
4.96868,2.1604400000000004,-1.46133
4.923080000000001,2.1919,-1.50911
8.39692,3.8267,-1.22343
7.6021399999999995,3.54494,-1.466
7.57079,3.6110800000000003,-1.466
7.58754,3.7006900000000003,-1.3186200000000001
